0,1,2,3,4,5,6,7,8,9,10,11
name,0 - 1,2-Jan,3-Feb,4-Mar,5-Apr,6-May,7-Jun,8-Jul,9-Aug,10-Sep,adjusted mean
PD5-22,1,1,0,0,0,0,0,0,0,0,0
PD5-02,0,0,-1,0,0,0,0,0,0,0,0
PD5-17,2,2,1,2,3,4,3,3,3,1,2.5
PD5-06,3,4,1,2,2,3,3,4,3,4,3
PD5-23,0,0,0,2,2,0,1,1,0,1,0.5
PD5-03,0,0,0,0,1,0,0,0,1,0,0
PD5-18,7,3,2,2,0,3,1,1,4,0,2
PD5-08,5,3,3,2,2,2,3,2,3,2,2.5
PD5-11,0,-1,0,0,0,0,0,0,-1,0,0
PD5-19,2,3,3,1,2,1,3,3,2,2,2.333333333
PD5-09,1,2,2,2,1,3,2,1,2,2,1.833333333
PD5-13,-3,-1,0,0,-1,-1,0,0,0,0,-0.333333333
PD5-20,0,1,3,1,4,0,3,3,2,1,1.833333333
PD5-10,2,2,3,3,6,4,5,5,5,5,4.166666667
PD5-16,1,0,1,0,0,0,1,0,0,1,0.333333333
PD5-01,-1,0,0,0,0,0,0,0,0,0,0
PD5-15,3,1,2,1,2,3,1,2,2,2,1.833333333
PD5-05,1,0,1,0,0,4,2,1,2,1,1
PD5-14,0,1,0,0,1,0,0,0,-1,-1,0
PD5-24,5,2,2,3,1,1,2,3,1,4,2.166666667
PD5-12,2,2,1,1,2,3,1,1,2,5,1.666666667
PD5-04,3,4,0,2,3,2,3,4,0,2,2.5
