name,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,adjusted mean
PD5-22,1,1,-1,-4,-3,-5,-5,-1,-5,-5,-3.166666667
PD5-02,-4,-3,-5,-4,-3,-3,-3,-3,-3,-3,-3.166666667
PD5-17,-26,-23,-20,-23,-22,-22,-20,-20,-19,-18,-21.16666667
PD5-06,-20,-20,-18,-19,-17,-17,-22,-19,-21,-21,-19.5
PD5-23,-2,3,3,1,-3,-1,-3,-1,-1,0,-0.6666666667
PD5-03,-2,5,1,3,-3,-2,-3,1,1,-1,-0.3333333333
PD5-18,-27,-25,-22,-20,-17,-17,-13,-14,-13,-12,-17.16666667
PD5-08,-25,-20,-15,-16,-12,-11,-13,-14,-14,-14,-14.33333333
PD5-11,-3,3,-1,-2,1,-1,-2,2,0,-2,-0.8333333333
PD5-19,-25,-16,-17,-12,-13,-13,-10,-14,-10,-13,-13.5
PD5-09,-18,-15,-10,-16,-6,-14,-12,-15,-10,-13,-13.16666667
PD5-13,-3,0,0,3,0,1,2,2,4,5,1.333333333
PD5-20,-28,-26,-18,-19,-18,-15,-17,-26,-27,-25,-22
PD5-10,-41,-31,-28,-22,-21,-17,-13,-17,-19,-16,-20.66666667
PD5-16,-1,1,2,-1,-4,-4,-3,-4,-3,-4,-2.666666667
PD5-01,-1,0,2,-2,0,1,1,-1,-3,-3,-0.5
PD5-15,-21,-24,-22,-20,-19,-18,-21,-23,-18,-22,-20.83333333
PD5-05,-20,-20,-22,-22,-23,-19,-20,-20,-18,-18,-20.16666667
PD5-14,-3,-2,-3,-1,0,1,0,3,3,3,0.1666666667
PD5-24,-19,-20,-16,-20,-18,-19,-19,-19,-19,-18,-18.83333333
PD5-12,-25,-23,-21,-21,-21,-21,-23,-16,-22,-23,-21.83333333
PD5-04,-34,-28,-24,-26,-22,-25,-24,-21,-30,-29,-26
