,name,frame,left_count,right_count
0,PD5-22,3015,1.0,0.0
1,PD5-22,7065,1.0,0.0
2,PD5-22,7310,1.0,0.0
3,PD5-22,10097,1.0,0.0
4,PD5-22,11261,1.0,0.0
5,PD5-22,13557,1.0,0.0
6,PD5-22,14368,1.0,0.0
7,PD5-22,15573,0.0,1.0
8,PD5-22,18623,1.0,0.0
9,PD5-22,18968,1.0,0.0
10,PD5-22,19617,1.0,0.0
11,PD5-22,19672,0.0,1.0
12,PD5-22,19716,1.0,0.0
13,PD5-22,20177,1.0,0.0
14,PD5-22,20790,1.0,1.0
15,PD5-22,21185,1.0,0.0
16,PD5-22,22107,1.0,0.0
17,PD5-22,22659,1.0,0.0
18,PD5-22,23792,1.0,0.0
19,PD5-22,25972,1.0,1.0
20,PD5-22,26581,1.0,1.0
21,PD5-22,27284,0.0,1.0
22,PD5-22,27331,1.0,0.0
23,PD5-22,27478,1.0,1.0
24,PD5-22,29216,0.0,1.0
25,PD5-22,29239,1.0,0.0
26,PD5-22,29922,1.0,0.0
27,PD5-22,31329,1.0,1.0
28,PD5-22,32064,1.0,0.0
29,PD5-22,32653,0.0,1.0
30,PD5-22,32718,1.0,0.0
31,PD5-22,32922,1.0,1.0
