,name,frame,left_count,right_count,546
0,PD5-23,6039,0,1,
1,PD5-23,6801,1,1,
2,PD5-23,8351,1,1,
3,PD5-23,8411,1,0,
4,PD5-23,9679,0,1,
5,PD5-23,9715,1,0,
6,PD5-23,14976,1,0,
7,PD5-23,15011,1,0,
8,PD5-23,15047,0,1,
9,PD5-23,15693,1,1,
10,PD5-23,20724,1,1,
11,PD5-23,21296,1,1,
12,PD5-23,22957,0,1,
13,PD5-23,23061,1,0,
14,PD5-23,23627,1,1,
15,PD5-23,25184,1,1
16,PD5-23,29467,1,1
17,PD5-23,30007,1,1
18,PD5-23,31990,1,0
19,PD5-23,32029,0,1
20,PD5-23,33023,0,1
21,PD5-23,34120,1,1
22,PD5-23,34940,1,0
23,PD5-23,35633,0,1
