name,0 - 1L,0 - 1 R,1 - 2L,1 - 2 R,2 - 3L,2 - 3 R,3 - 4L,3 - 4 R,4 - 5L,4 - 5 R,5 - 6L,5 - 6 R,6 - 7L,6 - 7 R,7 - 8L,7 - 8 R,8 - 9L,8 - 9 R,9 - 10L,9 - 10 R
PD5-01,1,1,1,1,2,2,4,4,4,3,4,3,2,2,2,3,3,2,2,3
PD5-02,0,0,3,1,0,0,0,0,4,0,1,0,0,0,1,2,1,1,2,1
PD5-03,0,0,0,1,1,3,2,0,4,4,4,4,1,1,3,5,2,1,2,2
PD5-04,0,0,0,0,0,0,2,1,0,0,1,0,0,0,7,1,1,0,1,0
PD5-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1
PD5-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PD5-08,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0
PD5-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
PD5-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1
PD5-11,0,0,0,2,0,3,2,2,1,1,3,1,1,0,0,0,0,0,2,2
PD5-12,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,1,0,0
PD5-13,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
PD5-14,0,1,1,3,0,0,2,3,0,1,1,2,1,1,0,0,0,0,0,0
PD5-15,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,1,0,4,2
PD5-16,0,0,2,0,1,0,3,1,2,0,3,0,5,0,7,0,5,1,5,1
PD5-17,1,0,2,0,1,0,4,0,1,0,3,1,10,3,2,0,3,0,6,0
PD5-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
PD5-19,0,0,0,0,2,0,0,0,0,0,2,1,1,0,3,0,4,2,1,0
PD5-20,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
PD5-22,1,0,1,0,2,0,3,0,0,1,7,2,3,0,4,4,4,2,2,2
PD5-23,0,0,1,2,3,2,0,0,3,2,2,2,3,3,0,0,3,3,2,3
PD5-24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,5,0,2,0
