name,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,adjusted mean
PD5-01,0,0,0,0,1,1,0,-1,1,-1,0.14285714285714285
PD5-02,0,2,0,0,4,1,0,-1,0,1,0.2857142857142857
PD5-03,0,-1,-2,2,0,0,0,-2,1,0,-0.14285714285714285
PD5-04,0,0,0,1,0,1,0,6,1,1,0.42857142857142855
PD5-05,0,0,0,0,0,0,0,0,1,2,0.0
PD5-06,0,0,0,0,0,0,0,0,0,0,0.0
PD5-08,0,0,0,2,0,0,0,1,1,0,0.14285714285714285
PD5-09,0,0,0,0,0,0,0,0,0,0,0.0
PD5-10,0,0,1,0,0,0,0,1,1,2,0.2857142857142857
PD5-11,0,-2,-3,0,0,2,1,0,0,0,0.0
PD5-12,0,0,0,2,4,0,0,0,1,0,0.14285714285714285
PD5-13,0,-2,0,0,0,0,0,0,0,1,0.0
PD5-14,-1,-2,0,-1,-1,-1,0,0,0,0,-0.42857142857142855
PD5-15,0,0,0,0,0,5,0,3,1,2,0.42857142857142855
PD5-16,0,2,1,2,2,3,5,7,4,4,2.5714285714285716
PD5-17,1,2,1,4,1,2,7,2,3,6,2.142857142857143
PD5-18,0,0,0,0,0,0,0,0,2,0,0.0
PD5-19,0,0,2,0,0,1,1,3,2,1,0.7142857142857143
PD5-20,0,0,0,0,0,0,0,2,0,0,0.0
PD5-22,1,1,2,3,-1,5,3,0,2,0,1.2857142857142858
PD5-23,0,-1,1,0,1,0,0,0,0,-1,0.0
PD5-24,0,0,0,0,0,3,0,3,5,2,0.7142857142857143
