,name,0 - 1 L,0 - 1 R,1 - 2 L,1 - 2 R,2 - 3 L,2 - 3 R,3 - 4 L,3 - 4 R,4 - 5 L,4 - 5 R,5 - 6 L,5 - 6 R,6 - 7 L,6 - 7 R,7 - 8 L,7 - 8 R,8 - 9 L,8 - 9 R,9 - 10 L,9 - 10 R
0,PD06-01,2,2,2,2,7,3,5,1,4,2,4,0,3,0,1,1,2,2,2,1
1,PD06-02,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
2,PD06-03,1,0,1,0,4,1,0,0,6,1,6,5,2,2,3,0,2,1,0,0
3,PD06-04,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,3,0,0,0
4,PD06-05,1,4,3,3,1,0,0,1,4,1,1,1,0,0,2,0,1,0,1,0
5,PD06-06,0,0,0,0,8,1,0,0,0,0,0,0,0,0,8,1,6,2,6,0
6,PD06-07,11,17,10,12,9,5,5,2,10,2,4,2,2,0,5,1,4,1,3,1
7,PD06-08,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0
8,PD5-01,0,0,0,0,3,1,2,0,3,0,5,0,0,1,0,0,2,3,0,1
9,PD5-02,0,0,0,0,0,0,1,1,3,0,3,0,1,0,0,0,2,0,2,0
10,PD5-03,1,2,0,0,0,0,3,2,1,0,1,0,1,0,1,2,1,0,1,3
11,PD5-04,3,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,7,1
12,PD5-06,1,6,0,0,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0
13,PD5-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,PD5-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
15,PD5-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PD5-11,0,0,0,1,2,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1
17,PD5-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,PD5-13,5,2,0,0,0,0,0,0,1,0,2,1,0,0,1,0,4,0,1,1
19,PD5-14,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0
20,PD5-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
21,PD5-16,2,0,0,0,1,1,0,0,0,0,1,1,4,1,3,0,1,0,6,0
22,PD5-17,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,1,0
23,PD5-18,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
24,PD5-19,0,0,1,0,0,0,0,0,2,1,5,1,3,0,1,0,0,0,0,0
25,PD5-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,1
26,PD5-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
27,PD5-23,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0
28,PD5-24,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,4,0,0,1,2
